mu1,mu2,theta,rho,Correlation_Q1_Q2,Correlation_Std,,
1.1,1,0.1,0.8,-0.082459322,0.002623086,,
1.1,1,0.3,0.8,-0.088713028,0.001775974,,
1.1,1,0.5,0.8,-0.085016504,0.001901182,,
1.2,1,0.1,0.8,-0.060127193,0.002773326,,
1.2,1,0.3,0.8,-0.071493569,0.002138264,,
1.2,1,0.5,0.8,-0.07142335,0.001873134,,
1.5,1,0.1,0.8,-0.027366208,0.001845899,,
1.5,1,0.3,0.8,-0.039578793,0.001464244,,
1.5,1,0.5,0.8,-0.044031426,0.001664198,,
2,1,0.1,0.8,-0.009684278,0.001604521,,
2,1,0.3,0.8,-0.018204876,0.001241544,,
2,1,0.5,0.8,-0.022030683,0.001349271,,
4,1,0.1,0.8,-0.001017989,0.000860943,,
4,1,0.3,0.8,-0.002668032,0.000825761,,
4,1,0.5,0.8,-0.003533822,0.000775984,,
1.1,1,0.1,0.9,-0.078892119,0.003820306,,
1.1,1,0.3,0.9,-0.067283033,0.002952254,,
1.1,1,0.5,0.9,-0.058589012,0.002242162,,
1.2,1,0.1,0.9,-0.055348292,0.003348175,,
1.2,1,0.3,0.9,-0.054347077,0.002532196,,
1.2,1,0.5,0.9,-0.049278188,0.002262526,,
1.5,1,0.1,0.9,-0.022146956,0.002127737,,
1.5,1,0.3,0.9,-0.029095038,0.002024087,,
1.5,1,0.5,0.9,-0.029773641,0.001873437,,
2,1,0.1,0.9,-0.007096609,0.001748325,,
2,1,0.3,0.9,-0.01248247,0.001515281,,
2,1,0.5,0.9,-0.014492801,0.00149437,,
4,1,0.1,0.9,-0.000602297,0.000893245,,
4,1,0.3,0.9,-0.001488495,0.000854945,,
4,1,0.5,0.9,-0.002366577,0.000892587,,
1.1,1,0.1,0.95,-0.055691229,0.005106484,,
1.1,1,0.3,0.95,-0.042007955,0.002892364,,
1.1,1,0.5,0.95,-0.033199458,0.002458568,,
1.2,1,0.1,0.95,-0.038900441,0.003846912,,
1.2,1,0.3,0.95,-0.033255806,0.002936268,,
1.2,1,0.5,0.95,-0.028843827,0.002712192,,
1.5,1,0.1,0.95,-0.014424168,0.002332685,,
1.5,1,0.3,0.95,-0.017570225,0.002226102,,
1.5,1,0.5,0.95,-0.017518951,0.00222338,,
2,1,0.1,0.95,-0.004416999,0.001997363,,
2,1,0.3,0.95,-0.007229144,0.001631968,,
2,1,0.5,0.95,-0.008225813,0.001576341,,
4,1,0.1,0.95,-0.000303705,0.000996118,,
4,1,0.3,0.95,-0.000838022,0.000915739,,
4,1,0.5,0.95,-0.001160099,0.000976062,,
1.1,1,0.1,0.99,-0.014350994,0.005183299,,
1.1,1,0.3,0.99,-0.009569838,0.003098906,,
1.1,1,0.5,0.99,-0.007951822,0.002568769,,
1.2,1,0.1,0.99,-0.009581756,0.0047689,,
1.2,1,0.3,0.99,-0.007980114,0.00268698,,
1.2,1,0.5,0.99,-0.006355959,0.002207856,,
1.5,1,0.1,0.99,-0.003826211,0.002796241,,
1.5,1,0.3,0.99,-0.003538376,0.002350529,,
1.5,1,0.5,0.99,-0.0040703,0.001959228,,
2,1,0.1,0.99,-0.001170649,0.001950118,,
2,1,0.3,0.99,-0.001441632,0.001902797,,
2,1,0.5,0.99,-0.002034986,0.001400741,,
4,1,0.1,0.99,9.60E-05,0.001007905,,
4,1,0.3,0.99,-0.00021673,0.000919883,,
4,1,0.5,0.99,-0.000244898,0.000911923,,
