mu1,mu2,theta,rho,KS_Statistic,KS_Std,KS_Statistic_Geo,KS_Statistic_Geo_Std
1.1,1,0.1,0.8,0.200138451,0.00272615,0.046530413,0.00272615
1.1,1,0.3,0.8,0.200073653,0.002179947,0.071501382,0.002179947
1.1,1,0.5,0.8,0.200112507,0.002234904,0.080994674,0.002234904
1.2,1,0.1,0.8,0.199949946,0.002357571,0.03901038,0.002357571
1.2,1,0.3,0.8,0.199928691,0.002219877,0.056792469,0.002219877
1.2,1,0.5,0.8,0.199939083,0.002254143,0.065349869,0.002254143
1.5,1,0.1,0.8,0.200036249,0.002414395,0.050430636,0.002414395
1.5,1,0.3,0.8,0.199910909,0.002506788,0.051045402,0.002506788
1.5,1,0.5,0.8,0.199943062,0.002317339,0.054787754,0.002317339
2,1,0.1,0.8,0.200024949,0.002945287,0.064015651,0.002945287
2,1,0.3,0.8,0.199934963,0.002794834,0.059271027,0.002794834
2,1,0.5,0.8,0.199975167,0.002939664,0.05873316,0.002939664
4,1,0.1,0.8,0.19998394,0.002841455,0.072842555,0.002841455
4,1,0.3,0.8,0.199850337,0.002560455,0.071201788,0.002560455
4,1,0.5,0.8,0.200129087,0.002546912,0.070218482,0.002546912
1.1,1,0.1,0.9,0.10005825,0.005179935,0.025477575,0.005179935
1.1,1,0.3,0.9,0.100054104,0.004796315,0.042186527,0.004796315
1.1,1,0.5,0.9,0.100014097,0.005380003,0.047327804,0.005380003
1.2,1,0.1,0.9,0.100039197,0.004035893,0.01884349,0.004035893
1.2,1,0.3,0.9,0.099979202,0.005885461,0.030258278,0.005885461
1.2,1,0.5,0.9,0.100265711,0.005819091,0.037092545,0.005819091
1.5,1,0.1,0.9,0.099802242,0.005550445,0.022224463,0.005550445
1.5,1,0.3,0.9,0.100043871,0.005409514,0.02550293,0.005409514
1.5,1,0.5,0.9,0.099731287,0.005621872,0.026487667,0.005621872
2,1,0.1,0.9,0.099953723,0.00598915,0.030846618,0.00598915
2,1,0.3,0.9,0.100130162,0.005633677,0.029411596,0.005633677
2,1,0.5,0.9,0.100098646,0.005942617,0.028787249,0.005942617
4,1,0.1,0.9,0.100098659,0.006141489,0.036645203,0.006141489
4,1,0.3,0.9,0.100123547,0.005759251,0.036163341,0.005759251
4,1,0.5,0.9,0.099987607,0.005790131,0.033990418,0.005790131
1.1,1,0.1,0.95,0.049722671,0.005659976,0.013012944,0.005659976
1.1,1,0.3,0.95,0.050266466,0.008980944,0.025248302,0.008980944
1.1,1,0.5,0.95,0.050102675,0.008623761,0.027687698,0.008623761
1.2,1,0.1,0.95,0.050062546,0.006170307,0.011995065,0.006170307
1.2,1,0.3,0.95,0.049823512,0.007722895,0.015485817,0.007722895
1.2,1,0.5,0.95,0.050016505,0.00927004,0.018918712,0.00927004
1.5,1,0.1,0.95,0.049837464,0.008561399,0.010301694,0.008561399
1.5,1,0.3,0.95,0.050072046,0.008378653,0.013955229,0.008378653
1.5,1,0.5,0.95,0.04974931,0.00781885,0.012270576,0.00781885
2,1,0.1,0.95,0.050089497,0.008583349,0.016047719,0.008583349
2,1,0.3,0.95,0.049878966,0.008784366,0.012494325,0.008784366
2,1,0.5,0.95,0.0500718,0.008622195,0.014349889,0.008622195
4,1,0.1,0.95,0.04999036,0.010962388,0.017473406,0.010962388
4,1,0.3,0.95,0.049867565,0.009159602,0.016325078,0.009159602
4,1,0.5,0.95,0.050277838,0.010002266,0.018929649,0.010002266
1.1,1,0.1,0.99,0.011732966,0.035825209,0.007935964,0.035825209
1.1,1,0.3,0.99,0.013350655,0.026687069,0.012588062,0.026687069
1.1,1,0.5,0.99,0.022185185,0.029481914,0.019956018,0.029481914
1.2,1,0.1,0.99,0.00990335,0.03419464,0.005870663,0.03419464
1.2,1,0.3,0.99,0.018310165,0.028231731,0.017045351,0.028231731
1.2,1,0.5,0.99,0.011758827,0.033069654,0.008811132,0.033069654
1.5,1,0.1,0.99,0.014973254,0.033215579,0.011545033,0.033215579
1.5,1,0.3,0.99,0.01001286,0.043014641,0.00580911,0.043014641
1.5,1,0.5,0.99,0.011021201,0.032716613,0.008729108,0.032716613
2,1,0.1,0.99,0.010001283,0.034269433,0.006579219,0.034269433
2,1,0.3,0.99,0.010021098,0.031963264,0.001935801,0.031963264
2,1,0.5,0.99,0.014845801,0.034433474,0.010809711,0.034433474
4,1,0.1,0.99,0.012275117,0.036650818,0.007553126,0.036650818
4,1,0.3,0.99,0.013781795,0.03434913,0.01348795,0.03434913
4,1,0.5,0.99,0.00974215,0.032898737,0.007508997,0.032898737
