mu1,mu2,theta,rho,Empirical_Mean_Q2,Empirical_Mean_Q2_Std,Approx_Q2,Gap,Relative_Gap
1.1,1,0.1,0.8,3.574126995,0.000692249,4.144357718,-0.570230724,-0.137592062
1.2,1,0.1,0.8,3.621964568,0.000817706,4.102866677,-0.480902109,-0.117211244
1.5,1,0.1,0.8,3.749078194,0.000815713,4.39192036,-0.642842166,-0.146369267
2,1,0.1,0.8,3.866850122,0.000803664,4.704841242,-0.83799112,-0.178112518
4,1,0.1,0.8,3.973030794,0.000831763,4.950040186,-0.977009392,-0.197374032
1.1,1,0.3,0.8,3.458832304,0.000806866,4.310907902,-0.852075598,-0.197655718
1.2,1,0.3,0.8,3.479493702,0.000671036,4.147873563,-0.668379861,-0.161137954
1.5,1,0.3,0.8,3.585117799,0.000725916,4.204715479,-0.619597681,-0.147357814
2,1,0.3,0.8,3.732064838,0.00071108,4.481238383,-0.749173546,-0.167180025
4,1,0.3,0.8,3.929515298,0.000759381,4.873427376,-0.943912078,-0.193685471
1.1,1,0.5,0.8,3.427260568,0.000796871,4.390287372,-0.963026803,-0.219353933
1.2,1,0.5,0.8,3.431529026,0.000803279,4.197609367,-0.766080342,-0.182503962
1.5,1,0.5,0.8,3.510892412,0.000805258,4.154493383,-0.643600972,-0.154916836
2,1,0.5,0.8,3.655176905,0.000676355,4.376757508,-0.721580602,-0.16486648
4,1,0.5,0.8,3.895216356,0.000798338,4.815540557,-0.920324202,-0.19111545
1.1,1,0.1,0.9,7.711232506,0.002710755,8.288715437,-0.577482931,-0.06967098
1.2,1,0.1,0.9,7.817441854,0.002863902,8.205733354,-0.3882915,-0.047319537
1.5,1,0.1,0.9,8.221074035,0.003139473,8.783840721,-0.562766686,-0.064068407
2,1,0.1,0.9,8.603745233,0.003044055,9.409682484,-0.805937251,-0.085649782
4,1,0.1,0.9,8.928605644,0.002494155,9.900080371,-0.971474728,-0.098127964
1.1,1,0.3,0.9,7.644685424,0.004088684,8.621815805,-0.977130381,-0.113332319
1.2,1,0.3,0.9,7.614586151,0.003402841,8.295747127,-0.681160975,-0.08210966
1.5,1,0.3,0.9,7.837980438,0.003069966,8.409430958,-0.57145052,-0.06795353
2,1,0.3,0.9,8.247845294,0.003574152,8.962476767,-0.714631473,-0.079735936
4,1,0.3,0.9,8.811331386,0.003205163,9.746854752,-0.935523366,-0.095982077
1.1,1,0.5,0.9,7.672203347,0.003719299,8.780574743,-1.108371396,-0.126229937
1.2,1,0.5,0.9,7.584406808,0.002782911,8.395218734,-0.810811926,-0.096580203
1.5,1,0.5,0.9,7.695459373,0.003004926,8.308986766,-0.613527393,-0.073839014
2,1,0.5,0.9,8.063384041,0.00311703,8.753515016,-0.690130975,-0.07884044
4,1,0.5,0.9,8.719943258,0.003136438,9.631081114,-0.911137857,-0.094603902
1.1,1,0.1,0.95,15.94177862,0.013827952,16.57743087,-0.635652257,-0.038344437
1.2,1,0.1,0.95,16.06757125,0.010240403,16.41146671,-0.343895456,-0.020954584
1.5,1,0.1,0.95,17.05341433,0.012467648,17.56768144,-0.51426711,-0.029273476
2,1,0.1,0.95,18.03650207,0.01465545,18.81936497,-0.782862903,-0.041598795
4,1,0.1,0.95,18.82990826,0.011269823,19.80016074,-0.970252483,-0.049002253
1.1,1,0.3,0.95,16.15021773,0.01841519,17.24363161,-1.093413882,-0.063409722
1.2,1,0.3,0.95,15.88309833,0.014767855,16.59149425,-0.708395921,-0.04269633
1.5,1,0.3,0.95,16.27467284,0.013220604,16.81886192,-0.544189078,-0.03235588
2,1,0.3,0.95,17.23214085,0.012661408,17.92495353,-0.692812683,-0.038650738
4,1,0.3,0.95,18.563097,0.011400367,19.4937095,-0.930612503,-0.047739118
1.1,1,0.5,0.95,16.33225185,0.01990033,17.56114949,-1.228897639,-0.0699782
1.2,1,0.5,0.95,15.92669977,0.015346429,16.79043747,-0.863737696,-0.051442239
1.5,1,0.5,0.95,16.02379299,0.01385711,16.61797353,-0.594180546,-0.035755295
2,1,0.5,0.95,16.83206495,0.011491225,17.50703003,-0.674965081,-0.038553945
4,1,0.5,0.95,18.36225609,0.012378992,19.26216223,-0.899906135,-0.046718853
1.1,1,0.1,0.99,82.27644384,0.308630173,82.88715437,-0.610710532,-0.007367976
1.2,1,0.1,0.99,81.91129575,0.221120049,82.05733354,-0.146037789,-0.001779704
1.5,1,0.1,0.99,87.5709662,0.25710377,87.83840721,-0.267441006,-0.003044693
2,1,0.1,0.99,93.06658778,0.255281947,94.09682484,-1.030237065,-0.010948691
4,1,0.1,0.99,97.92122728,0.39074771,99.00080371,-1.079576432,-0.010904724
1.1,1,0.3,0.99,84.59182583,0.344643784,86.21815805,-1.626332221,-0.01886299
1.2,1,0.3,0.99,82.20546151,0.357463498,82.95747127,-0.752009756,-0.009065003
1.5,1,0.3,0.99,83.48577421,0.307629345,84.09430958,-0.608535372,-0.007236344
2,1,0.3,0.99,89.23004687,0.365822716,89.62476767,-0.394720794,-0.004404149
4,1,0.3,0.99,96.41956308,0.31857868,97.46854752,-1.048984445,-0.010762287
1.1,1,0.5,0.99,86.93557436,0.448777219,87.80574743,-0.870173078,-0.009910206
1.2,1,0.5,0.99,82.94265415,0.359969836,83.95218734,-1.009533194,-0.012025097
1.5,1,0.5,0.99,82.72843258,0.33658169,83.08986766,-0.361435086,-0.00434993
2,1,0.5,0.99,87.04086306,0.348849574,87.53515016,-0.494287101,-0.005646727
4,1,0.5,0.99,95.44067781,0.317983415,96.31081114,-0.870133331,-0.009034638
