lambda,mu1,theta,c,Empirical_Optimal_Cost,Empirical_Optimal_Cost_Std,Approx_Optimal_Cost,Empirical_Optimal_Mu2,Approx_Optimal_Mu2,Empirical_Optimal_Rho,Approx_Optimal_Rho,Mismatch_cost,Rel Mismatch Cost
0.1,0.5,1.1,0.5,0.490446243,0.001929451,1.006251202,0.283477123,0.29727786,0.309691607,0.295314578,-0.00086247,-0.001758541
0.1,0.5,1.2,0.5,0.489369072,0.001767382,1.005327824,0.286542027,0.296694324,0.305435701,0.294984292,-0.000541067,-0.001105642
0.1,0.5,1.5,0.5,0.486232904,0.001857732,1.003125034,0.28519008,0.295302593,0.304626272,0.294194473,-0.000989719,-0.002035483
0.1,0.5,2,0.5,0.482951364,0.002005812,1.000648791,0.28367094,0.293738695,0.303713054,0.293303433,-0.000668534,-0.001384268
0.1,0.5,4,0.5,0.47654574,0.001966951,0.996290475,0.280998925,0.290987811,0.302097293,0.291727047,-0.001933121,-0.004056528
0.1,0.7,1.1,0.5,0.507718931,0.001855151,1.020090102,0.306030852,0.306030852,0.300206483,0.300206483,0,0
0.1,0.7,1.2,0.5,0.506392244,0.001885637,1.019287797,0.305523554,0.305523554,0.299926375,0.299926375,0,0
0.1,0.7,1.5,0.5,0.504024512,0.001736364,1.017331205,0.294658639,0.304286578,0.309019449,0.299241757,-0.000318823,-0.000632555
0.1,0.7,2,0.5,0.500703106,0.001804514,1.015056809,0.293259039,0.30284904,0.308202794,0.298443262,-0.000289878,-0.000578942
0.1,0.7,4,0.5,0.494878705,0.001758358,1.010846524,0.290669399,0.300189087,0.306683265,0.296957631,-0.001027532,-0.002076331
0.1,0.9,1.1,0.5,0.517878921,0.001960405,1.027784398,0.301848936,0.310896807,0.31195179,0.302873217,-0.000739856,-0.001428627
0.1,0.9,1.2,0.5,0.516973812,0.001850657,1.027097102,0.311215361,0.31046225,0.301904254,0.302636606,-0.000661966,-0.001280463
0.1,0.9,1.5,0.5,0.51433291,0.001919574,1.025389971,0.310133894,0.309382963,0.301316375,0.302047727,-0.000700726,-0.001362398
0.1,0.9,2,0.5,0.51164763,0.002142606,1.023348283,0.304350752,0.308092356,0.305045877,0.30134127,-0.00029569,-0.000577917
0.1,0.9,4,0.5,0.505922653,0.002049661,1.019395805,0.304108142,0.305594667,0.301433352,0.299967069,-0.000365467,-0.000722377
0.1,1,1.1,0.5,0.521580943,0.002161704,1.030428745,0.313326081,0.312568719,0.303046534,0.303780824,-0.000811127,-0.001555132
0.1,1,1.2,0.5,0.520511949,0.002159591,1.02979265,0.306870707,0.31216657,0.308801699,0.303562921,-0.000847591,-0.00162838
0.1,1,1.5,0.5,0.518345724,0.001803776,1.028199941,0.302105447,0.311159686,0.312097818,0.303016281,-0.000491725,-0.000948643
0.1,1,2,0.5,0.51539448,0.002127841,1.026270851,0.309940286,0.309940286,0.302352243,0.302352243,0,0
0.1,1,4,0.5,0.510100291,0.001986172,1.02245906,0.296323659,0.307531439,0.312419953,0.301034015,-0.000285789,-0.00056026
0.1,1.2,1.1,0.5,0.527051491,0.002031338,1.034296537,0.315013605,0.315013605,0.30510007,0.30510007,0,0
0.1,1.2,1.2,0.5,0.526142885,0.002172462,1.033749695,0.305528835,0.314667955,0.314034852,0.30491412,-0.000267892,-0.000509162
0.1,1.2,1.5,0.5,0.523715925,0.001822833,1.032360833,0.314549914,0.313790089,0.303705635,0.304441042,-0.000752645,-0.001437125
0.1,1.2,2,0.5,0.521126949,0.002070683,1.03064008,0.313460136,0.312702504,0.303118935,0.303853348,-0.001058571,-0.002031311
0.1,1.2,4,0.5,0.51614075,0.001929623,1.027109439,0.309718263,0.310471393,0.303378181,0.302642258,-0.000499462,-0.000967686
0.3,0.5,1.1,0.5,0.81609519,0.003304906,1.352139908,0.513520989,0.533201195,0.409567141,0.39445021,-0.003543211,-0.004341664
0.3,0.5,1.2,0.5,0.812314985,0.003149327,1.348565691,0.509999582,0.530761163,0.409628747,0.393605457,-0.003822677,-0.004705905
0.3,0.5,1.5,0.5,0.802219869,0.003394431,1.340070214,0.504388179,0.524968248,0.407564049,0.391586518,-0.003824842,-0.004767823
0.3,0.5,2,0.5,0.79142909,0.003052044,1.330559135,0.499249799,0.518494308,0.404314232,0.389307647,-0.00357317,-0.004514833
0.3,0.5,4,0.5,0.771037889,0.002692357,1.313870011,0.471575841,0.507164448,0.414335429,0.385260795,-0.003898267,-0.00505587
0.3,0.7,1.1,0.5,0.88339403,0.003488773,1.415343648,0.560594188,0.577844429,0.420628908,0.408071982,-0.003950046,-0.004471443
0.3,0.7,1.2,0.5,0.879403973,0.003538738,1.411747991,0.554508893,0.575384429,0.422624661,0.407291406,-0.002981477,-0.003390338
0.3,0.7,1.5,0.5,0.868567039,0.003524469,1.403045307,0.531681669,0.569434241,0.434175046,0.40538994,-0.002357676,-0.002714443
0.3,0.7,2,0.5,0.856845832,0.003487149,1.393026977,0.515553409,0.562592136,0.439965864,0.403180006,-0.003363277,-0.003925183
0.3,0.7,4,0.5,0.834056626,0.002890399,1.374677373,0.503884766,0.548900624,0.435666015,0.399936635,-0.003717654,-0.004457316
0.3,0.9,1.1,0.5,0.926579156,0.003838638,1.45471418,0.58818554,0.604796504,0.428157982,0.416398461,-0.00332508,-0.003588555
0.3,0.9,1.2,0.5,0.922469888,0.003642254,1.451318805,0.583375029,0.602482971,0.429321196,0.415705136,-0.002664156,-0.002888068
0.3,0.9,1.5,0.5,0.912898462,0.003698328,1.442967718,0.580358007,0.596793229,0.425711203,0.413987447,-0.003062806,-0.003355035
0.3,0.9,2,0.5,0.900173075,0.003492013,1.43311069,0.573792461,0.59007984,0.423631157,0.411938093,-0.003295464,-0.003660923
0.3,0.9,4,0.5,0.87729723,0.003628558,1.41432785,0.560064532,0.577300468,0.420525708,0.407970454,-0.002819762,-0.003214147
0.3,1,1.1,0.5,0.942935207,0.003895192,1.469112746,0.599071265,0.615896902,0.430172672,0.41842082,-0.002290365,-0.002428974
0.3,1,1.2,0.5,0.938431836,0.003657107,1.465851317,0.596899139,0.613676271,0.429514222,0.417771847,-0.00397461,-0.004235374
0.3,1,1.5,0.5,0.929260921,0.004000736,1.45776983,0.587672866,0.606892226,0.430668968,0.417030332,-0.002648,-0.002849576
0.3,1,2,0.5,0.917071857,0.003640934,1.44812076,0.581280038,0.600333234,0.42867718,0.415071952,-0.003318254,-0.003618314
0.3,1,4,0.5,0.894605534,0.003445266,1.429389106,0.548899921,0.587607748,0.440204119,0.411206297,-0.00282355,-0.003156196
0.3,1.2,1.1,0.5,0.967974037,0.004019945,1.491100175,0.611036382,0.630826151,0.436386373,0.422696411,-0.003217802,-0.003324265
0.3,1.2,1.2,0.5,0.964463991,0.004252446,1.488125663,0.609072072,0.628811215,0.43580895,0.422128381,-0.002495564,-0.002587514
0.3,1.2,1.5,0.5,0.955613943,0.004100773,1.480656683,0.610674428,0.623748979,0.429697687,0.420690692,-0.001586224,-0.0016599
0.3,1.2,2,0.5,0.944674107,0.003845209,1.471548436,0.607195566,0.617572216,0.426075629,0.418916567,-0.00221167,-0.002341199
0.3,1.2,4,0.5,0.921265434,0.004324986,1.453237799,0.586010675,0.603876882,0.428851588,0.416163652,-0.002987455,-0.003242773
0.5,0.5,1.1,0.5,0.998467144,0.004046213,1.536580605,0.628096021,0.667978377,0.461414753,0.433865497,-0.003053069,-0.003057756
0.5,0.5,1.2,0.5,0.991880497,0.004039571,1.531073413,0.628480492,0.66270387,0.457265908,0.433651764,-0.004147633,-0.004181585
0.5,0.5,1.5,0.5,0.976819412,0.003585104,1.51793067,0.622282449,0.653420795,0.452558479,0.430992097,-0.003393559,-0.00347409
0.5,0.5,2,0.5,0.959623867,0.004166474,1.503119799,0.616259923,0.64299601,0.446538226,0.427970949,-0.003448552,-0.00359365
0.5,0.5,4,0.5,0.929020457,0.003855299,1.476844741,0.577560167,0.624594448,0.456954885,0.422544486,-0.004069027,-0.004379911
0.5,0.7,1.1,0.5,1.112579679,0.004558733,1.647916937,0.718561513,0.750115288,0.475014496,0.4550329,-0.004452652,-0.004002097
0.5,0.7,1.2,0.5,1.105245437,0.004369016,1.641822604,0.714330517,0.745740654,0.473888173,0.453928295,-0.003294175,-0.002980492
0.5,0.7,1.5,0.5,1.087818968,0.004683308,1.627074935,0.70115703,0.735177438,0.473134145,0.451239816,-0.003991951,-0.003669683
0.5,0.7,2,0.5,1.067888399,0.003904237,1.610083355,0.689467848,0.721588262,0.46994052,0.449021827,-0.003579355,-0.003351806
0.5,0.7,4,0.5,1.031689654,0.004615145,1.57884335,0.66667252,0.699441864,0.464978345,0.443193782,-0.00323441,-0.003135061
0.5,0.9,1.1,0.5,1.189880309,0.005503096,1.722808427,0.778945354,0.805910856,0.483575485,0.467395215,-0.005880422,-0.004942028
0.5,0.9,1.2,0.5,1.183866416,0.005912417,1.716616974,0.774618477,0.801467868,0.482533672,0.466368663,-0.004522487,-0.003820099
0.5,0.9,1.5,0.5,1.16642628,0.004822658,1.701442763,0.762465624,0.790592615,0.480943494,0.46383292,-0.003615594,-0.003099719
0.5,0.9,2,0.5,1.145098639,0.004419841,1.683600382,0.743892208,0.776292145,0.481843675,0.461733071,-0.004320817,-0.003773314
0.5,0.9,4,0.5,1.106040737,0.004473818,1.649683467,0.699497137,0.752178229,0.490232955,0.455897998,-0.004697142,-0.004246807
0.5,1,1.1,0.5,1.22058327,0.005806716,1.751579149,0.800725613,0.826611578,0.487376061,0.472113512,-0.006681106,-0.005473699
0.5,1,1.2,0.5,1.21488289,0.004938782,1.745442579,0.791611445,0.822223349,0.489355893,0.471136858,-0.00495919,-0.004082031
0.5,1,1.5,0.5,1.196996026,0.004695267,1.730314011,0.777927018,0.811412732,0.488882353,0.468706955,-0.004735968,-0.003956544
0.5,1,2,0.5,1.176224513,0.004807103,1.712358462,0.774979253,0.798601445,0.479982238,0.465784627,-0.004240904,-0.003605523
0.5,1,4,0.5,1.135555139,0.005233148,1.677681732,0.71862595,0.772404997,0.495443403,0.460947932,-0.00443195,-0.003902893
0.5,1.2,1.1,0.5,1.27125698,0.006070886,1.797281745,0.84084687,0.860858222,0.48958019,0.478199498,-0.002539593,-0.001997702
0.5,1.2,1.2,0.5,1.264669302,0.00602273,1.791374291,0.823441633,0.85666609,0.496588012,0.477328622,-0.00243488,-0.00192531
0.5,1.2,1.5,0.5,1.246015287,0.005194971,1.776647627,0.823179196,0.844567637,0.488427011,0.476057733,-0.003900319,-0.003130234
0.5,1.2,2,0.5,1.224909772,0.005026719,1.758857463,0.799441134,0.831959792,0.492611661,0.473357041,-0.006030223,-0.004922994
0.5,1.2,4,0.5,1.184555327,0.005090358,1.723459398,0.773574919,0.806908402,0.488013441,0.467853547,-0.004979871,-0.004204
0.1,0.5,1.1,0.75,0.581656922,0.001986634,1.350189016,0.335774654,0.344490909,0.261456559,0.254841226,-0.001691839,-0.002908654
0.1,0.5,1.2,0.75,0.580173531,0.001776497,1.349117374,0.327151215,0.343829988,0.267522054,0.254544886,-0.00194125,-0.003345982
0.1,0.5,1.5,0.75,0.577004277,0.001893831,1.346560692,0.332863356,0.342253547,0.26099716,0.253836349,-0.000887686,-0.001538439
0.1,0.5,2,0.75,0.573240507,0.001980651,1.343686277,0.325380209,0.340481841,0.264781217,0.253037189,-0.001299455,-0.002266858
0.1,0.5,4,0.75,0.566593776,0.001878016,1.338626207,0.314533041,0.337364779,0.269889022,0.25162382,-0.001150082,-0.002029818
0.1,0.7,1.1,0.75,0.600996706,0.002200466,1.366245592,0.343982369,0.354400433,0.267084752,0.259233447,-0.001709802,-0.002844944
0.1,0.7,1.2,0.75,0.600020209,0.001878191,1.365314656,0.343422637,0.353826307,0.266827407,0.258981794,-0.00170153,-0.002835788
0.1,0.7,1.5,0.75,0.596534295,0.001991345,1.363044264,0.341317113,0.352426273,0.266776105,0.258366804,-0.001970365,-0.00330302
0.1,0.7,2,0.75,0.593179095,0.002080964,1.360404888,0.335307504,0.350799043,0.269553333,0.257649663,-0.001286922,-0.002169534
0.1,0.7,4,0.75,0.586304149,0.001986328,1.355518279,0.336070989,0.347787529,0.265251816,0.256315804,-0.001678881,-0.002863498
0.1,0.9,1.1,0.75,0.613308754,0.002297314,1.375172897,0.350104247,0.359906107,0.268955081,0.261630226,-0.002462935,-0.004015816
0.1,0.9,1.2,0.75,0.612101613,0.002420589,1.37437542,0.349624057,0.359414509,0.268737919,0.261417498,-0.002168967,-0.003543475
0.1,0.9,1.5,0.75,0.608926692,0.002145859,1.372394564,0.348431371,0.358193473,0.268197494,0.260888117,-0.001873407,-0.003076572
0.1,0.9,2,0.75,0.606219323,0.002229268,1.370025389,0.346256721,0.356733213,0.26812748,0.260253148,-0.000464591,-0.000766374
0.1,0.9,4,0.75,0.599561687,0.0022431,1.365438463,0.343501049,0.353906723,0.266864793,0.259018353,-0.001171335,-0.001953652
0.1,1,1.1,0.75,0.616906605,0.002100641,1.378241161,0.356495769,0.361797309,0.266349256,0.262446349,-0.002496469,-0.004046754
0.1,1,1.2,0.75,0.616530428,0.002211433,1.377503081,0.352263816,0.361342437,0.269009167,0.262250392,-0.001749806,-0.00283815
0.1,1,1.5,0.75,0.613707745,0.002250859,1.375654978,0.35492184,0.360203479,0.265654125,0.261758857,-0.001561766,-0.002544804
0.1,1,2,0.75,0.610127149,0.002399664,1.373416466,0.349047255,0.358823997,0.268476946,0.261161856,-0.002069698,-0.00339224
0.1,1,4,0.75,0.603718173,0.002302131,1.36899289,0.34563789,0.356098484,0.267845125,0.259977023,-0.001136047,-0.001881751
0.1,1.2,1.1,0.75,0.623714021,0.002499022,1.382729253,0.359988676,0.364562412,0.26698249,0.263632975,-0.00126522,-0.002028526
0.1,1.2,1.2,0.75,0.622828312,0.002476569,1.382094706,0.359601964,0.364171524,0.266813622,0.263465692,-0.000988041,-0.001586378
